Model,RMSE Train,RMSE Test,R2 Train,R2 Test,CV Score,Status
Linear Regression,6105.789320191615,5799.587091438359,0.7417049283233981,0.7833463107364537,0.73394292442297,Success
Ridge Regression,6105.797289939543,5800.156772780016,0.7417042540295933,0.7833037457661383,0.7339583784793503,Success
Lasso Regression,6105.789320242807,5799.589352009245,0.7417049283190669,0.7833461418412857,0.7339430120212769,Success
Decision Tree,494.20598375812835,6881.111204855228,0.9983078124756305,0.6950075471882797,0.6942364499851559,Success
Random Forest,1919.7647108362096,4571.501475177018,0.9744654329628125,0.8653861739369313,0.8266160909196895,Success
Gradient Boosting,3836.0650334866227,4351.106228083052,0.8980459663933704,0.8780529462228404,0.8403685272689978,Success
XGBoost,919.7655612011001,4822.991168492682,0.9941387967942534,0.8501678977480663,0.7937999788706285,Success
